skrzyzowanie;przejscie_dla_pieszych;ustap_pierwszenstwa;pierwszenstwo;nakaz_wjazdu;tramwaje_znak;inne_znaki;koniec_drogi_z_pierwszenstwem;zakaz_wjazdu;stop;zakaz_skrętu;rondo;suma;odległość_od_centrum;ścieżka_rowerowa;tramwaj
WAWELSKA / GRÓJECKA;15;8;2;3;2;12;4;1;0;1;0;48;2,56;nie;tak
IDZIKOWSKIEGO / WITOSA;12;2;3;4;0;23;0;2;4;4;0;54;4,85;tak;nie
PŁASKOWICIKEJ / ROENTGENA;14;13;0;6;0;2;5;0;0;0;8;48;9,73;tak;nie
DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA;20;7;5;3;0;12;1;2;0;2;0;52;6,9;tak;nie
PROSTA / TOWAROWA;20;16;0;0;0;18;8;4;0;0;8;74;1,86;tak;tak
TORUŃSKA / ŁABISZYŃSKA;16;12;0;0;0;27;4;4;0;0;8;71;7,89;tak;nie
WAWELSKA / ŻWIRKI I WIGURY;14;11;4;0;0;39;4;8;0;6;0;86;2,15;tak;nie
GRÓJECKA / KOPIŃSKA;11;4;2;3;0;14;0;1;0;1;0;36;2,57;nie;tak
PROSTA / ŻELAZNA;12;5;2;6;0;5;1;2;0;2;0;35;1,33;tak;tak
MARSZAŁKOWSKA / ŚWIĘTOKRZYSKA;8;2;1;2;0;5;0;2;0;1;0;21;0,64;tak;tak
STRAŻACKA / ŻOŁNIERSKA;2;3;4;2;0;23;0;2;0;0;0;36;9,54;tak;nie
ALEJA WILANOWSKA / PUŁAWSKA;12;4;3;5;2;5;0;1;0;0;0;32;5,64;tak;tak
KRÓLEWSKA / MARSZAŁKOWSKA;14;9;4;0;1;12;0;6;0;2;0;48;1;tak;tak
POLECZKI / PUŁAWSKA;15;7;7;1;0;19;1;7;2;1;0;60;8,57;tak;nie
GÓRCZEWSKA / POWSTAŃCÓW ŚLĄSKICH;18;4;4;2;0;22;0;3;0;0;0;53;6,79;tak;tak
ALEJE JEROZOLIMSKIE / MARSZAŁKOWSKA;0;8;1;0;0;4;0;3;0;0;8;24;0;tak;tak
DOMANIEWSKA / WOŁOSKA;4;5;2;2;0;5;0;1;0;0;0;19;5,21;tak;tak
KŁOPOT / PAMIĘTAJCIE O OGRODACH;4;3;0;1;0;6;0;3;0;0;3;20;3,63;tak;nie
NACZELNIKOWSKA / RADZYMIŃSKA;4;3;1;3;0;5;1;0;0;0;0;17;4,84;tak;nie
HYNKA / ŻWIRKI I WIGURY;15;7;0;0;0;0;0;5;0;0;7;34;5,62;tak;nie
MARSA / ŻOŁNIERSKA;16;4;4;5;0;4;0;0;0;0;0;33;8,78;tak;nie
