id;data;ulica_1;ulica_2;sygnalizacja;rodzaj_zdarzenia;warunki_oswietleniowe;warunki_pogodowe;rodzaj_drogi;ograniczenie_predkosci [km/h];typ_nawierzchni;stan_nawierzchni;oznakowanie_poziome;rodzaj_skrzyzowania;teren_zabudowany;skrzyzowanie;teren_zabudowany_bin;nawierzchnia_twarda_bin;znaki_poziome_bin
106656750;04.01.2018;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w tylne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Mokra;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
106661795;07.01.2018;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Pochmurno;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
106670227;11.01.2018;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
106673235;14.01.2018;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Jednojezdniowa dwukierunkowa;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
106732367;13.02.2018;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w czo艂owe;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
106754837;23.02.2018;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Jednojezdniowa dwukierunkowa;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
106873821;06.04.2018;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
106912239;26.04.2018;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;Noc - droga o艣wietlona;Dobre warunki atmosferyczne;Jednojezdniowa dwukierunkowa;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
106916088;28.04.2018;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
106943559;13.05.2018;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w czo艂owe;Noc - droga o艣wietlona;Dobre warunki atmosferyczne;Jednojezdniowa dwukierunkowa;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
106948863;12.05.2018;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
106948972;12.05.2018;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w tylne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
107009193;13.06.2018;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Pochmurno;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
107280403;13.09.2018;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;Noc - droga o艣wietlona;Opady deszczu;Dwie jezdnie jednokierunkowe;60;Twarda;Mokra;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
107310500;22.09.2018;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Pochmurno;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
107411746;29.10.2018;WAWELSKA;GR覬ECKA;brak;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Pochmurno;Dwie jezdnie jednokierunkowe;50;Twarda;Mokra;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
107423925;02.11.2018;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
107507777;17.12.2018;WAWELSKA;GR覬ECKA;dzia艂a;Najechanie na pieszego;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
