skrzyzowanie;Ulica_APR;Odcinek_APR;GPS(lat_lon);Punkt APR;Okres;Max_dobowe[1kpoj./24h];Średnie_dobowe[poj./24h];Suma_z_okresu[poj.];Uwaga
WAWELSKA / GRÓJECKA;Grójecka;Instalatorów - Włodarzewska;52.2013 20.9664;3318;2025-01-01 – 2025-12-31;53233.0;42094.0;15364539.0;
IDZIKOWSKIEGO / WITOSA;Czerniakowska;Idzikowskiego - Witosa;52.1943 21.0552;3359;2025-01-01 – 2025-12-31;69458.0;55608.0;20297024.0;
PŁASKOWICKIEJ / ROENTGENA;Płaskowickiej;Puławska - Roentgena;52.1432 21.0203;5347;2025-01-01 – 2025-12-31;22855.0;18302.0;6680443.0;
DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA;Dolina Służewiecka;Nowoursynowska - Al. Wilanowska;52.1711 21.0419;3379;2025-01-01 – 2025-12-31;71917.0;55700.0;20330806.0;
PROSTA / TOWAROWA;Towarowa;Kolejowa - Prosta;52.2283 20.9854;2303;2025-01-01 – 2025-12-31;40443.0;31401.0;11461497.0;
TORUŃSKA / ŁABISZYŃSKA;Trasa Toruńska;Modlińska - Wysockiego;52.2924 21.0083;3302;2025-01-01 – 2025-12-31;84159.0;71409.0;26064553.0;
WAWELSKA / ŻWIRKI I WIGURY;Wawelska;M.Curie - Raszyńska;52.2161 20.9844;5368;2025-01-01 – 2025-12-31;54645.0;46691.0;17042451.0;
GRÓJECKA / KOPIŃSKA;Grójecka;Winnicka - Siewierska;52.2133 20.9784;5369;2025-01-01 – 2025-12-31;33645.0;18777.0;6853840.0;
PROSTA / ŻELAZNA;Żelazna;Chmielna - Złota;52.2282 20.9946;2304;2025-01-01 – 2025-12-31;18102.0;14173.0;5173421.0;
MARSZAŁKOWSKA / ŚWIĘTOKRZYSKA;Marszałkowska;Widok - Złota;52.2323 21.01;2307;2025-01-01 – 2025-12-31;51716.0;19220.0;7015308.0;
STRAŻACKA / ŻOŁNIERSKA;Żołnierska;Strażacka - Czwartaków;52.2608 21.1429;1357;2025-01-01 – 2025-12-31;75356.0;59977.0;21891940.0;
ALEJA WILANOWSKA / PUŁAWSKA;Puławska;Kuropatwy - granica miasta;52.1046 21.0188;1365;2025-01-01 – 2025-12-31;59439.0;49441.0;18046148.0;
KRÓLEWSKA / MARSZAŁKOWSKA;Marszałkowska;Widok - Złota;52.2323 21.01;2307;2025-01-01 – 2025-12-31;51716.0;19220.0;7015308.0;
POLECZKI / PUŁAWSKA;Pileckiego;Bociana - Puławska;52.1519 21.0229;5398;2025-01-01 – 2025-12-31;26610.0;20221.0;7380902.0;
GÓRCZEWSKA / POWSTAŃCÓW ŚLĄSKICH;Górczewska;Konarskiego - Białowiejska;52.2402 20.923;3371;2025-01-01 – 2025-12-31;43672.0;31318.0;11431317.0;
ALEJE JEROZOLIMSKIE / MARSZAŁKOWSKA;Marszałkowska;Widok - Złota;52.2323 21.01;2307;2025-01-01 – 2025-12-31;51716.0;19220.0;7015308.0;
DOMANIEWSKA / WOŁOSKA;Marynarska;Wynalazek - Taśmowa;52.1801 20.9931;3366;2025-01-01 – 2025-12-31;86848.0;47544.0;17353812.0;" brak czujnika APR na Domaniewska/Wołoska; dane z ul. Marynarskiej (pkt 3366, ~1,5 km, Mokotów) – APR ZDM 2025"
KŁOPOT / PAMIĘTAJCIE O OGRODACH;al. Jana Pawła II;Broniewskiego - Rydygiera;52.2601 20.9807;5379;2025-01-01 – 2025-12-31;45760.0;34145.0;12462940.0;"brak czujnika APR na Kłopot/Pamiętajcie o Ogrodach; dane z al. Jana Pawła II Broniewskiego–Rydygiera (pkt 5379, ~400 m na N od Arkadii) – APR ZDM 2025"
NACZELNIKOWSKA / RADZYMIŃSKA;Radzymińska;Naczelnikowska - Wołomińska;52.2634 21.0558;5312;2025-01-01 – 2025-12-31;15670.0;12625.0;4608390.0;
HYNKA / ŻWIRKI I WIGURY;Żwirki i Wigury;17 Stycznia - Port Lotniczy;52.1775 20.979;9399;2025-01-01 – 2025-12-31;37283.0;29708.0;10843597.0;" brak czujnika APR na Hynka/Żwirki; dane z pkt 9399 (Żwirki i Wigury / 17 Stycznia, ~1,7 km) – APR ZDM 2025"
MARSA / ŻOŁNIERSKA;Marsa;Naddnieprzańska - Kresowa;52.2412 21.1344;3306;2025-01-01 – 2025-12-31;88737.0;71851.0;26225630.0;
